300	0.859	0.845	0.845   0.818
400	0.861	0.854	0.840   0.818
500	0.864	0.858	0.853	0.818
600	0.864	0.854	0.852	0.810
700	0.871	0.859	0.856	0.816
800	0.874	0.867	0.869	0.824
900 0.877	0.872	0.873	0.832
1000    0.880	0.871	0.870	0.832
1100	0.887	0.877	0.877	0.837
1200	0.890	0.879	0.879	0.839
